name,fridge,freezer
"CINNAMON, GROUND, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"CHESTNUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK - IN THE SHELL",4-6 months,3-4 months
"CREME FRAICHE, COMMERCIALLY PACKAGED — UNOPENED OR OPENED",1 month,
"CUSTARD, MADE WITH MILK — HOMEMADE",5-6 days,
"CREAM CHEESE, SOLD IN FOIL-WRAPPED BLOCK - UNOPENED PACKAGE",1 month after date on package,2 months
"GRAVY, LAMB, COMMERCIALLY BOTTLED OR CANNED - OPENED",3-5 days,2-3 months
"ITALIAN SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",6-9 months (best quality),
"CRAB — FRESH, COOKED, STILL IN THE SHELL",3-5 days,3 months
"CLAMS, COMMERCIALLY CANNED — UNOPENED",,
"CRAB - FRESH, RAW, LIVE",1-2 days,
"BLACKBERRY PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,
"BISCUITS, FRESHLY BAKED  - HOMEMADE OR BAKERY",1 week,2-3 months
BLUEBERRY PIE — UNBAKED,1-2 days,2-4 months
"BLUEBERRY PIE, FRESHLY BAKED - HOMEMADE OR BAKERY",4-5 days,6-8 months
"BREAD CRUMBS, DRIED, COMMERCIALLY PACKAGED — UNOPENED OR OPENED PACKAGE",,1 year (best quality)
"CRANBERRIES, DRIED - UNOPENED OR OPENED PACKAGE",6-12 months,12-18 months
"CHERRIES, CANDIED (RED, GREEN OR YELLOW) — UNOPENED OR OPENED PACKAGE",,
"CANTALOUPE MELONS - FRESH, RAW, CUT UP",3-5 days,10-12 months
"BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",7-10 days,8-12 months
"BLUEBERRIES, DRIED - UNOPENED OR OPENED PACKAGE",6-12 months,12-18 months
"CHOCOLATE LIQUEUR, COMMERCIALLY BOTTLED - UNOPENED",,
"CHOCOLATE LIQUEUR, COMMERCIALLY BOTTLED - OPENED",,
"CLUB SODA, COMMERCIALLY BOTTLED OR CANNED — OPENED",2-4 days,
"COCONUT WATER, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",,
"CREAM LIQUEUR, COMMERCIALLY BOTTLED - UNOPENED",,
"CANNELLINI BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",3-5 days,6 months (best quality)
"BRAZIL NUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK - OUT OF THE SHELL",9 months,1 year
"CHICKPEAS / GARBANZO BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — COOKED AT HOME",3-5 days,6 months (best quality)
"BUTTER BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED",,
"CHIVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"BRATWURST SAUSAGES - FRESH, RAW (NOT SMOKED)",1-2 days,1-2 months
"CLOVES, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"BUTTER BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3-4 days,1-2 months
"BEEF, GROUND (HAMBURGER) - FRESH, RAW",1-2 days,3-4 months (best quality)
"DILL WEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,
"CUMIN, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"CURRY POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"DRIED MINCED GARLIC, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"CREAM, WHIPPED - HOMEMADE USING FLUID CREAM",1 day,1-2 months
"BEEF, STEW MEAT - FRESH, RAW",1-2 days,3-4 months
"BLACKBERRY PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",2 weeks,
"BLACKBERRY JAM, COMMERCIALLY JARRED - UNOPENED",,
BLACKBERRY PIE — UNBAKED,1-2 days,2-4 months
"BLACKBERRY JELLY, COMMERCIALLY JARRED - UNOPENED",,
CHERRIES — COMMERCIALLY FROZEN,,1 year
BOYSENBERRIES — COMMERCIALLY FROZEN,,1 year (best quality)
"COFFEE LIQUEUR, WITH CREAM, COMMERCIALLY BOTTLED - OPENED",12-18 months (best quality),
"CINNAMON LIQUEUR, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",,
"COFFEE, GROUND, COMMERCIALLY CANNED OR BAGGED, VACUUM-PACKED - OPENED",,1 month (best quality)
"COFFEE, GROUND, COMMERCIALLY CANNED OR BAGGED, VACUUM-PACKED - UNOPENED",,
"DAIQUIRI MIX (NON-ALCOHOLIC), COMMERCIALLY BOTTLED - OPENED",4-6 months,
"COCONUT MILK, SOLD IN REFRIGERATED CARTON - UNOPENED",1 week after date on package,
"COCONUT MILK, SOLD IN REFRIGERATED CARTON - OPENED",7-10 days,
"DAIQUIRI MIX (NON-ALCOHOLIC), COMMERCIALLY BOTTLED - UNOPENED",,
"JALAPENO PEPPERS, DICED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,
"GARLIC SALT, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"LEMON PEEL, DRIED RIND (NOT CANDIED),  COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"GINGER, CRYSTALLIZED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,
"MARJORAM, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"LIQUID SMOKE, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",,
"FETTUCCINE, FRESH, SOLD REFRIGERATED — UNOPENED PACKAGE","2-3 days after ""sell by"" date on package",1-2 months (best quality)
"LENTIL SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED - UNOPENED",,
"FUSILLI - COOKED, LEFTOVERS",3-5 days,1-2 months
"KIDNEY BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3-4 days,1-2 months
CRANBERRY SAUCE - HOMEMADE,10-14 days,1-2 months
"CRENSHAW MELONS — FRESH, RAW, CUT UP",3-5 days,10-12 months
"FEIJOA - FRESH, RAW",1-2 days once ripe,10-12 months
"INSTANT COFFEE, COMMERCIALLY BOTTLED - OPENED",,
"GRAPPA, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",,
"DIET SODA / SOFT DRINKS / POP (INCLUDING DIET COLA,  GINGER ALE, ROOT BEER), COMMERCIALLY CANNED OR BOTTLED — OPENED",1-4 days,
"FLAVORED WATER, COMMERCIALLY BOTTLED - OPENED",3-5 days,
"GARLIC POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"LAVENDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,
"CHINESE LONG BEANS — FRESH, COOKED",3-4 days,10-12 months
"CREAM OF BROCCOLI SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,
CORN  — COMMERCIALLY FROZEN,,10-12 months (best quality)
"CORN, COMMERCIALLY CANNED OR BOTTLED (ALL VARIETIES) — UNOPENED",,
"CORN ON THE COB - FRESH, RAW",1-3 days,8 months
"MUSTARD PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - UNOPENED",,
"MEATLOAF MIX, DRY, COMMERCIALLY PACKAGED — UNOPENED",,
"MUSTARD, COMMERCIALLY BOTTLED, ALL TYPES (INCLUDING YELLOW, DIJON, WHOLE GRAIN) - OPENED",12-18 months (best quality),
"KIDNEY BEANS, DRIED, COMMERCIALLY BAGGED OR PURCHASED IN BULK — UNCOOKED",,
GRITS — COMMERCIALLY PACKAGED OR PURCHASED IN BULK,,
"LASAGNA - HOMEMADE, LEFTOVERS",3-5 days,2-3 months
"HAZELNUTS / FILBERTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK - IN THE SHELL",9 months,12 months
"FLOUNDER - FRESH, COOKED",3-4 days,2-3 months
"FISH  CHOWDER, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",,
"HADDOCK - FRESH, RAW",1-2 days,6-8 months
FISH STOCK OR BROTH - HOMEMADE,3-4 days,4-6 months
GRAPE JUICE - COMMERCIALLY FROZEN CONCENTRATE,5-7 days after prepared for drinking,1 year (best quality)
"CRANBERRY SAUCE, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",,
"GOOSEBERRIES - FRESH, RAW",2-3 days,10-12 months
"CRENSHAW MELONS - FRESH, RAW, WHOLE",7-10 days once ripe,10-12 months
"DESSERT TOPPING, NON-DAIRY, WHIPPED, SOLD IN AEROSOL CAN - UNOPENED  OR OPENED",3 months,
EGG SALAD - HOMEMADE OR STORE-PREPARED,3-5 days,
"DESSERT TOPPING, WHIPPED, COMMERCIALLY FROZEN - UNOPENED OR OPENED",,6 months (best quality)
"EGG SUBSTITUTE, LIQUID, SOLD REFRIGERATED — OPENED PACKAGE",7 days,
"GINGER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
CHINESE FOOD: VEGETABLE CHOW MEIN / LO MEIN - HOMEMADE OR TAKE-OUT,3-5 days,1-2 months
"CHINESE LONG BEANS - FRESH, RAW",3-5 days,10-12 months
"CREAM OF CELERY SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED",3-4 days,4-6 months
"COLLARD GREENS (COLLARDS) - FRESH, RAW",4-5 days,10-12 months
"CORN, COMMERCIALLY CANNED OR BOTTLED (ALL VARIETIES) — OPENED",3-4 days,1-2 months
"OIL, AVOCADO, COMMERCIALLY BOTTLED — OPENED",6-8 months,
"OIL, AVOCADO, COMMERCIALLY BOTTLED — UNOPENED",1 year,
"OIL, CHILI, COMMERCIALLY BOTTLED — UNOPENED",,
"OIL, PEANUT, COMMERCIALLY BOTTLED — UNOPENED",,
"OIL, CANOLA, COMMERCIALLY BOTTLED — UNOPENED",,
"OIL, GRAPESEED, COMMERCIALLY BOTTLED — OPENED",1 year,
FISH CHOWDER - HOMEMADE,3-4 days,4-6 months
"FROG LEGS - FRESH, RAW",1 day,2-3 months
"FISH STOCK OR BROTH, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED - OPENED",4-5 days,4-6 months
"FLOUNDER - FRESH, RAW",1-2 days,6-8 months
"HALIBUT - FRESH, COOKED",3-4 days,2-3 months
"GEFILTE FISH, COMMERCIALLY BOTTLED — OPENED",3-5 days,2-3 months
"FLAVORED WATER, COMMERCIALLY BOTTLED - UNOPENED",,
"ENERGY DRINKS, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",,
"GIN, COMMERCIALLY BOTTLED - UNOPENED OR OPENED BOTTLE",,
"GRENADINE, COMMERCIALLY BOTTLED - OPENED",4-6 months,
"JERK SEASONING BLEND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"MINT (INCLUDING PEPPERMINT, SPEARMINT) - FRESH, RAW",7-10 days,4-6 months
"MUSTARD  SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"LEMON GRASS, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"ITALIAN SEASONING, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"FETTUCCINE - COOKED, LEFTOVERS",3-5 days,1-2 months
"FUSILLI, DRY, UNCOOKED, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED — UNOPENED OR OPENED",,
"FETTUCCINE, DRY, UNCOOKED, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED — UNOPENED OR OPENED",,
LASAGNA - PURCHASED COMMERCIALLY FROZEN,,18 months (best quality)
"LASAGNA NOODLES, DRY, UNCOOKED, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED — UNOPENED OR OPENED",,
"GREAT NORTHERN BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,
DRIED PLUMS (PRUNES) - UNOPENED OR OPENED BAG,6-12 months,12-18 months
"GRAPE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",7-10 days,8-12 months
"FRUIT SALAD - FRESH, RAW",3-5 days,
"CURRANTS, DRIED - UNOPENED OR OPENED PACKAGE",6-12 months,12-18 months
"FRUIT COCKTAIL /SALAD /MIXED FRUIT, COMMERCIALLY CANNED OR BOTTLED — OPENED",5-7 days,1-2 months
"CRANBERRY JUICE, SOLD IN REFRIGERATED CONTAINER — OPENED",7-10 days,8-12 months (best quality)
"FIGS, CANDIED — UNOPENED OR OPENED PACKAGE",,
"GROUPER — PURCHASED COMMERCIALLY FROZEN, RAW",,10-12 months (best quality)
"EGG WHITES — FRESH, RAW",2-4 days,1 year
"EGG SUBSTITUTE, LIQUID, SOLD REFRIGERATED — UNOPENED PACKAGE","1 week after ""sell by"" date on package",1 year
"EDAM CHEESE, SHREDDED OR SLICED, COMMERCIALLY PACKAGED — OPENED PACKAGE",5-7 days,6-8 months (best quality)
EGGNOG - HOMEMADE,1 day,6 months
"EGGS - FRESH, RAW, OUT OF THE SHELL",2-4 days,1 year
"CREAM OF BROCCOLI SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — OPENED",3-4 days,4-6 months
"COLLARD GREENS (COLLARDS) — FRESH, COOKED",3-5 days,10-12 months
"CHIPOTLE PEPPERS, COMMERCIALLY  CANNED OR BOTTLED - UNOPENED",,
COLESLAW - HOMEMADE OR STORE-PREPARED,3-5 days,
"CHOPPED ONIONS / SLICED ONIONS (INCLUDING YELLOW, WHITE, RED, SPANISH, PEARL, VIDALIA VARIETIES) - FRESH, RAW",7-10 days,6-8 months
"CREAM OF ASPARAGUS SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,
"ICED TEA (ICE TEA), READY TO DRINK, SOLD UNREFRIGERATED, COMMERCIALLY BOTTLED OR CANNED — OPENED",7-10 days,
"ICED TEA (ICE TEA), INSTANT DRY MIX, COMMERCIALLY PACKAGED — OPENED",,
"MARGARITA MIX, NON-ALCOHOLIC, BOTTLED - UNOPENED",,
"LIQUID BREAKFAST DRINK — CANNED, UNOPENED",,
"DUBLINER CHEESE, SOLD IN WRAPPED BLOCK - OPENED",3-4 weeks,6 months
"DESSERT TOPPING MIX, DRY, POWDERED, COMMERCIALLY PACKAGED — UNOPENED OR OPENED",,
"DERBY CHEESE, SOLD IN WRAPPED BLOCK - UNOPENED",1-2 months,3 months
"EDAM CHEESE, SHREDDED OR SLICED, COMMERCIALLY PACKAGED — UNOPENED PACKAGE",1 week after date on package,6-8 months (best quality)
"MANICOTTI — COOKED, LEFTOVERS",3-5 days,1-2 months
"SAKE, COMMERCIALLY BOTTLED - UNOPENED",,
"SPARKLING CIDER, NON-ALCOHOLIC, COMMERCIALLY BOTTLED - UNOPENED",,
"SOY MILK, SOLD UNREFRIGERATED - OPENED",7-10 days,
SPARKLING WINE - OPENED BOTTLE,3-5 days,4-6 months
"SUGAR, GRANULATED (WHITE) - UNOPENED OR OPENED PACKAGE",,
"TORTILLA CHIPS (NACHO CHIPS), COMMERCIALLY PACKAGED - UNOPENED",,
"WHOLE WHEAT BREAD, FRESHLY BAKED, HOMEMADE OR BAKERY",,3 months
"TACO SHELLS, COMMERCIALLY PACKAGED — OPENED",,
"LINGUINI, FRESH, SOLD REFRIGERATED — UNOPENED PACKAGE","2-3 days after ""sell by"" date on package",1-2 months (best quality)
MACARONI AND CHEESE — PURCHASED COMMERCIALLY FROZEN,,18 months (best quality)
"MANICOTTI, DRY, UNCOOKED, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED — UNOPENED OR OPENED",,
"EMMENTAL/ EMMENTHAL CHEESE, SOLD IN WRAPPED BLOCK - UNOPENED",1-2 months,3 months
"GOAT CHEESE CRUMBLES, COMMERCIALLY PACKAGED - UNOPENED PACKAGE",1 week after date on package,3-6 months (best quality)
FARMER CHEESE — UNOPENED PACKAGE,1 week after date on container,6 months
"FETA CHEESE, PACKAGED IN BRINE — UNOPENED",3 months,3-6 months (best quality)
"EMMENTAL/ EMMENTHAL CHEESE, SOLD IN WRAPPED CHUNK OR BLOCK - OPENED",3-4 weeks,6 months
"RICE MILK, SOLD IN UNREFRIGERATED CARTON - UNOPENED",,
SPARKLING WINE - UNOPENED BOTTLE,,
"SPARKLING CIDER, NON-ALCOHOLIC, COMMERCIALLY BOTTLED - OPENED",7-10 days,
"VANILLA CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED - FROSTED",7 days,2-4 months
"WHOLE WHEAT BREAD, PACKAGED, PRE-SLICED - UNOPENED OR OPENED BAG",,3 months
"FETA CHEESE, PACKAGED IN BRINE — OPENED",4-6 weeks,3-6 months (best quality)
"GLOUCESTER CHEESE, SOLD IN WRAPPED BLOCK - UNOPENED",1-2 months,6 months
"GLOUCESTER CHEESE, SOLD IN WRAPPED BLOCK - OPENED",3-4 weeks,6 months
"CREAM OF CELERY SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,
CREAM OF MUSHROOM SOUP — HOMEMADE,3-4 days,4-6 months
"CUCUMBER - FRESH, RAW, SLICED OR CHOPPED",1-2 days,
"CUCUMBER - FRESH, RAW, WHOLE",1 week,
"MILLET,  COMMERCIALLY PACKAGED OR PURCHASED IN BULK - UNCOOKED",,
"MACADAMIA NUTS, COMMERCIALLY BAGGED OR PURCHASED IN BULK - OUT OF THE SHELL",6 months,9-12 months
"LINGUINI - COOKED, LEFTOVERS",3-5 days,1-2 months
"MACARONI AND CHEESE - COOKED, LEFTOVERS",3-5 days,1-2 months
"SPORTS DRINKS, COMMERCIALLY BOTTLED - UNOPENED",,
"CREAM OF MUSHROOM SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,
"FIDDLEHEAD FERNS — FRESH, COOKED",3-5 days,10-12 months
"DANDELION GREENS - FRESH, RAW",2-3 days,10-12 months
"TOASTER PASTRIES, COMMERCIALLY PACKAGED, SOLD UNREFRIGERATED — UNOPENED OR OPENED",,
"EGGS  - COOKED, HARD BOILED",1 week,
"FONTINA CHEESE, SOLD IN WRAPPED BLOCK - UNOPENED",1-2 months,3 months
"FONTINA CHEESE, SOLD IN WRAPPED BLOCK — OPENED",3-4 weeks,3 months
"CREAM OF POTATO SOUP, COMMERCIALLY CANNED OR PACKAGED, SOLD UNREFRIGERATED — UNOPENED",,
EDAMAME - COMMERCIALLY FROZEN,,10-12 months (best quality)
"FIDDLEHEAD FERNS — FRESH, RAW",2-3 days,
"NAVY BEANS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,
"PASTA, FRESH, SOLD REFRIGERATED — OPENED PACKAGE",3-4 days,1-2 months (best quality)
